Date,Area,Sales,Avg_Price,Med_Price
2000-01-01,E06,2,164250,164250
2000-02-01,E06,6,149808,153500
2000-04-01,E06,3,175750,168000
2000-05-01,E06,6,187167,187000
2000-06-01,E06,3,156067,156200
2000-08-01,E06,4,171000,159500
2000-09-01,E06,4,145475,146950
2000-10-01,E06,3,171333,164000
2000-11-01,E06,7,159943,160000
2000-12-01,E06,0,0,0
2001-01-01,E06,0,0,0
2001-02-01,E06,0,0,0
2001-03-01,E06,4,181000,171000
2001-04-01,E06,3,176967,174000
2001-05-01,E06,3,150300,149900
2001-06-01,E06,4,145125,141500
2001-07-01,E06,1,172000,172000
2001-08-01,E06,2,151450,151450
2001-09-01,E06,2,161000,161000
2001-10-01,E06,3,164500,165000
2001-11-01,E06,0,0,0
2001-12-01,E06,2,159450,159450
2002-01-01,E06,2,163500,163500
2002-02-01,E06,2,156500,156500
2002-03-01,E06,3,165500,175000
2002-04-01,E06,6,198933,179500
2002-05-01,E06,6,187583,179500
2002-06-01,E06,1,163000,163000
2002-07-01,E06,2,172000,172000
2002-08-01,E06,1,184900,184900
2002-09-01,E06,1,289900,289900
2002-10-01,E06,2,235500,235500
2002-11-01,E06,3,185000,197000
2002-12-01,E06,0,0,0
2003-01-01,E06,0,0,0
2003-02-01,E06,2,242500,242500
2003-03-01,E06,3,232667,329000
2003-04-01,E06,4,159000,149500
2003-05-01,E06,3,175062,185185
2003-06-01,E06,1,191000,191000
2003-07-01,E06,4,214000,203500
2003-08-01,E06,4,184750,195500
2003-09-01,E06,2,321000,321000
2003-10-01,E06,1,156000,156000
2003-11-01,E06,6,191817,189450
2003-12-01,E06,0,0,0
2004-01-01,E06,4,207225,185950
2004-02-01,E06,4,196500,195500
2004-03-01,E06,5,202800,184500
2004-04-01,E06,2,170900,170900
2004-05-01,E06,3,260667,285000
2004-06-01,E06,3,192167,194000
2004-07-01,E06,6,240500,242500
2004-08-01,E06,4,170000,172500
2004-09-01,E06,5,223800,199000
2004-10-01,E06,3,219167,192000
2004-11-01,E06,2,173500,173500
2004-12-01,E06,3,199200,194100
2005-01-01,E06,0,0,0
2005-02-01,E06,4,237525,226000
2005-03-01,E06,2,198000,198000
2005-04-01,E06,2,172500,172500
2005-05-01,E06,4,201425,184000
2005-06-01,E06,1,190000,190000
2005-07-01,E06,3,166000,163000
2005-08-01,E06,1,171750,171750
2005-09-01,E06,0,0,0
2005-10-01,E06,3,206700,209500
2005-11-01,E06,4,233125,217250
2005-12-01,E06,2,199500,199500
2006-01-01,E06,1,245000,245000
2006-02-01,E06,0,0,0
2006-03-01,E06,6,262483,234500
2006-04-01,E06,5,284180,227000
2006-05-01,E06,4,249000,246250
2006-06-01,E06,1,218100,218100
2006-07-01,E06,3,285000,319000
2006-08-01,E06,2,260000,260000
2006-09-01,E06,2,219900,219900
2006-10-01,E06,3,261500,194500
2006-11-01,E06,3,263500,225000
2006-12-01,E06,1,164500,164500
2007-01-01,E06,3,202300,203000
2007-02-01,E06,2,214000,214000
2007-03-01,E06,6,265250,273750
2007-04-01,E06,2,280000,280000
2007-05-01,E06,2,392000,392000
2007-06-01,E06,5,247000,235000
2007-07-01,E06,2,201500,201500
2007-08-01,E06,3,213667,235000
2007-09-01,E06,2,261500,261500
2007-10-01,E06,5,183100,185000
2007-11-01,E06,3,257104,248313
2007-12-01,E06,2,345000,345000
2008-01-01,E06,4,233750,207500
2008-02-01,E06,1,205000,205000
2008-03-01,E06,0,0,0
2008-04-01,E06,2,332500,332500
2008-05-01,E06,3,265000,208000
2008-06-01,E06,5,260040,239900
2008-07-01,E06,5,305600,358000
2008-08-01,E06,2,255500,255500
2008-09-01,E06,2,347000,347000
2008-10-01,E06,0,0,0
2008-11-01,E06,1,309900,309900
2008-12-01,E06,1,192000,192000
2009-01-01,E06,2,281500,281500
2009-02-01,E06,3,300667,260000
2009-03-01,E06,2,263000,263000
2009-04-01,E06,6,291167,279500
2009-05-01,E06,6,313733,322250
2009-06-01,E06,3,326333,340000
2009-07-01,E06,3,237933,210800
2009-08-01,E06,1,405000,405000
2009-09-01,E06,1,211000,211000
2009-10-01,E06,0,0,0
2009-11-01,E06,1,288100,288100
2009-12-01,E06,2,348000,348000
2010-01-01,E06,1,296000,296000
2010-02-01,E06,1,401900,401900
2010-03-01,E06,6,284783,279950
2010-04-01,E06,1,379900,379900
2010-05-01,E06,7,330143,329000
2010-06-01,E06,3,244500,225000
2010-07-01,E06,2,285500,285500
2010-08-01,E06,2,309500,309500
2010-09-01,E06,3,313167,345000
2010-10-01,E06,6,217217,212650
2010-11-01,E06,2,272000,272000
2010-12-01,E06,1,416000,416000
2011-01-01,E06,2,299500,299500
2011-02-01,E06,2,221000,221000
2011-03-01,E06,6,303050,256250
2011-04-01,E06,7,418414,379000
2011-05-01,E06,5,311200,312000
2011-06-01,E06,2,303000,303000
2011-07-01,E06,4,334225,357450
2011-08-01,E06,4,423500,421000
2011-09-01,E06,4,326250,316750
2011-10-01,E06,8,251300,239250
2011-11-01,E06,4,358000,374000
2011-12-01,E06,2,289450,289450
2012-01-01,E06,2,318000,318000
2012-02-01,E06,5,349490,322500
2012-03-01,E06,3,614667,639000
2012-04-01,E06,6,363767,375800
2012-05-01,E06,2,317000,317000
2012-06-01,E06,2,326251,326251
2012-07-01,E06,1,235000,235000
2012-08-01,E06,1,439000,439000
2012-09-01,E06,2,432500,432500
2012-10-01,E06,1,476000,476000
2012-11-01,E06,2,352625,352625
2012-12-01,E06,0,0,0
2013-01-01,E06,1,232000,232000
2013-02-01,E06,2,238500,238500
2013-03-01,E06,3,531800,419900
2013-04-01,E06,2,294250,294250
2013-05-01,E06,4,345625,365000
2013-06-01,E06,2,356000,356000
2013-07-01,E06,4,427128,432000
2013-08-01,E06,0,0,0
2013-09-01,E06,1,433000,433000
2013-10-01,E06,4,276250,237500
2013-11-01,E06,4,269475,256450
2013-12-01,E06,1,275000,275000
2014-01-01,E06,1,454000,454000
2014-02-01,E06,2,320600,320600
2014-03-01,E06,5,443900,425500
2014-04-01,E06,6,310250,284000
2014-05-01,E06,3,326167,290000
2014-06-01,E06,2,265500,265500
