,Sales 1,Dollar Volume 1,Average Price 1,Median Price 1,New Listings 2,Active Listings 3,Avg. SP/LP 4,Avg. DOM 5
TREB Total,"3,459","$2,143,566,504","$619,707","$562,000","8,717","4,320",99%,19
City of Toronto Total,"2,494","$1,649,675,597","$661,458","$600,000","6,317","3,070",99%,18
Toronto West,585,"$333,110,778","$569,420","$540,000","1,250",581,99%,20
Toronto W01,47,"$30,985,880","$659,274","$610,000",103,40,100%,16
Toronto W02,35,"$23,845,800","$681,309","$630,000",67,24,99%,18
Toronto W03,10,"$5,611,000","$561,100","$542,750",23,11,98%,30
Toronto W04,64,"$30,343,536","$474,118","$479,000",127,55,99%,19
Toronto W05,47,"$20,413,999","$434,340","$457,500",81,31,99%,19
Toronto W06,167,"$108,609,488","$650,356","$605,000",398,211,99%,21
Toronto W07,4,"$2,571,000","$642,750","$648,000",12,6,101%,8
Toronto W08,146,"$81,651,334","$559,256","$535,000",278,116,100%,18
Toronto W09,23,"$10,680,750","$464,380","$435,000",47,28,98%,28
Toronto W10,42,"$18,397,991","$438,047","$425,500",114,59,100%,19
Toronto Central,"1,570","$1,141,878,156","$727,311","$650,000","4,352","2,196",99%,18
Toronto C01,616,"$461,842,999","$749,745","$679,950","1,881",960,99%,17
Toronto C02,55,"$61,571,531","$1,119,482","$899,000",221,140,97%,30
Toronto C03,16,"$12,486,990","$780,437","$762,495",43,25,97%,39
Toronto C04,22,"$14,732,399","$669,655","$632,000",49,23,99%,16
Toronto C06,21,"$12,245,900","$583,138","$615,000",59,36,101%,16
Toronto C07,67,"$43,372,650","$647,353","$600,000",146,60,99%,17
Toronto C08,306,"$224,656,680","$734,172","$655,750",926,469,99%,18
Toronto C09,12,"$15,691,900","$1,307,658","$1,092,000",38,27,99%,22
Toronto C10,98,"$67,991,364","$693,789","$637,500",220,89,100%,18
Toronto C11,41,"$20,856,210","$508,688","$490,000",83,45,100%,21
Toronto C12,10,"$12,576,000","$1,257,600","$841,500",30,15,99%,18
Toronto C13,56,"$32,509,399","$580,525","$525,000",113,47,101%,21
Toronto C14,117,"$77,343,312","$661,054","$635,000",251,108,100%,15
Toronto C15,133,"$84,000,822","$631,585","$587,000",292,152,99%,18
Toronto East,339,"$174,686,663","$515,300","$471,500",715,293,101%,16
Toronto E01,26,"$22,570,900","$868,112","$770,000",58,15,102%,14
Toronto E02,22,"$15,701,000","$713,682","$618,000",67,29,101%,7
Toronto E03,20,"$8,683,928","$434,196","$416,000",45,19,100%,20
Toronto E04,43,"$19,261,500","$447,942","$450,000",78,25,102%,12
Toronto E05,39,"$19,323,688","$495,479","$505,000",84,42,102%,19
Toronto E06,10,"$5,932,400","$593,240","$555,250",26,11,98%,18
Toronto E07,55,"$27,043,000","$491,691","$480,000",96,44,103%,14
Toronto E08,27,"$12,141,670","$449,691","$410,000",77,40,99%,26
Toronto E09,63,"$30,559,077","$485,065","$465,000",114,42,99%,18
Toronto E10,6,"$2,115,000","$352,500","$326,000",17,8,104%,15
