Area,Date,Sales,Avg_Price,Med_Price
C01,2013-07-01,298,414030,375000
C02,2013-07-01,35,863982,524600
C03,2013-07-01,7,447857,460000
C04,2013-07-01,23,416376,330000
C06,2013-07-01,13,335885,340000
C07,2013-07-01,65,334728,320000
C08,2013-07-01,130,384874,363500
C09,2013-07-01,10,616650,512500
C10,2013-07-01,34,437662,430500
C11,2013-07-01,23,220909,208000
C12,2013-07-01,8,788502,387500
C13,2013-07-01,40,312999,294000
C14,2013-07-01,122,374667,360500
C15,2013-07-01,64,387957,342500
E01,2013-07-01,20,431965,405200
E02,2013-07-01,9,425989,403000
E03,2013-07-01,13,193954,148000
E04,2013-07-01,34,202079,192500
E05,2013-07-01,39,258192,245000
E06,2013-07-01,4,427128,432000
E07,2013-07-01,36,241050,237000
E08,2013-07-01,23,176713,172000
E09,2013-07-01,54,242529,240500
W01,2013-07-01,19,389447,365000
W02,2013-07-01,14,411679,449000
W03,2013-07-01,9,254222,242000
W04,2013-07-01,18,202622,191000
W05,2013-07-01,22,201114,181000
W06,2013-07-01,56,384430,333500
W07,2013-07-01,3,678667,615000
W08,2013-07-01,49,318128,298000
W09,2013-07-01,13,140838,135500
W10,2013-07-01,25,178168,174000
