Area,Date,Sales,Avg_Price,Med_Price
C01,2012-10-01,246,412209,375500
C02,2012-10-01,36,680066,526500
C03,2012-10-01,5,688400,540000
C04,2012-10-01,18,400011,327500
C06,2012-10-01,8,336250,342500
C07,2012-10-01,46,342658,337500
C08,2012-10-01,120,428742,375500
C09,2012-10-01,13,662944,679000
C10,2012-10-01,27,432922,410000
C11,2012-10-01,21,204167,180000
C12,2012-10-01,8,703063,476500
C13,2012-10-01,36,306761,259000
C14,2012-10-01,83,375074,345800
C15,2012-10-01,51,415439,336000
E01,2012-10-01,11,406445,415000
E02,2012-10-01,6,387650,374500
E03,2012-10-01,14,198286,158750
E04,2012-10-01,29,168286,150000
E05,2012-10-01,32,248325,231250
E06,2012-10-01,1,476000,476000
E07,2012-10-01,25,214880,227000
E08,2012-10-01,14,200464,156000
E09,2012-10-01,44,243869,246250
E10,2012-10-01,4,159563,171125
E11,2012-10-01,25,164230,160000
W01,2012-10-01,30,366097,324000
W02,2012-10-01,7,374914,349000
W03,2012-10-01,8,245500,233500
W04,2012-10-01,20,175188,170000
W05,2012-10-01,15,172567,160000
W06,2012-10-01,52,372428,332500
W07,2012-10-01,2,378500,378500
W08,2012-10-01,47,313004,304900
W09,2012-10-01,15,159017,108000
W10,2012-10-01,22,177318,174500
